lead_date,project_name,group name,gst name,gst no,Site_incharge,site_incharge_mobile,office_contact,email,logged_in_sales_representive,login_date&time,address,state,city,pincode,PRODUCT,,,QTY,COLOR,unit_pricew,sub_total,gst,gst_amount,discount,grand_total
30-06-2026,A. VALLABHDAS ENGINEERING CO.,A. VALLABHDAS ENGINEERING CO.,A. VALLABHDAS ENGINEERING CO.,24ABXFA9062E1Z5,TG,9925010258,9925010258,info@thehimalaya.co.in,sales12,30-06-2026,"16, PARMESHWAR ESTATE PART Ii,NR. VATVA RAILWAY CROSSING ROAD,VATVA GIDC PHASE-1,AHMEDABAD,GUJARAT",Gujarat,Ahmedabad,382445,RCS,450X450,LD,5,GREY,5817,29085,18%,5235.3,0,34320.3
15-07-2026,BOOTBHAVANI FABRICATORS,BOOTBHAVANI FABRICATORS,BOOTBHAVANI FABRICATORS,24ABOPM4392E2ZH,TG,8866667755,8866667755,info@thehimalaya.co.in,sales12,15-07-2026,"KHEDA,GUJARAT",Gujarat,Kheda,387411,MHC,15X15,LD,5,GREEN,481,2405,18%,432.9,0,2837.9
15-07-2026,BOOTBHAVANI FABRICATORS,BOOTBHAVANI FABRICATORS,BOOTBHAVANI FABRICATORS,24ABOPM4392E2ZH,TG,84888 11670,84888 11670,info@thehimalaya.co.in,sales12,15-07-2026,"PLOT NO.54C AND 54D, RAJ INDUSTRIES-01 PIPODARA, TDAKESHVAR,SURAT",Gujarat,Surat,394110,MHC,28X28,LD,10,GREEN,1881,18810,18%,3385.8,0,22195.8
29-07-2026,CREATIVE ENGINEERS,CREATIVE ENGINEERS,CREATIVE ENGINEERS,24ACPLM5251G1ZN,TG,9426529701,9426529701,info@thehimalaya.co.in,sales12,29-07-2026,"PLOT NO.54C AND 54D, RAJ INDUSTRIES-01 PIPODARA, TDAKESHVAR,SURAT",Gujarat,Surat,394110,MHC,24x24,LD,1,Grey,1789,1789,18%,322.02,0,2111.02
29-07-2026,FARUK MEMON,FARUK MEMON,FARUK MEMON,URD,TG,9824015088,9824015088,info@thehimalaya.co.in,sales12,29-07-2026,"PLOT NO.54C AND 54D, RAJ INDUSTRIES-01 PIPODARA, TDAKESHVAR,SURAT",Gujarat,Surat,394110,MHC,24x24,LD,53,Grey,1615,85595,18%,15407.1,0,101002.1
30-07-2026,SARANG ENTERPRISE,SARANG ENTERPRISE,SARANG ENTERPRISE,24AETFS8108L1ZD,TG,972252245,972252245,info@thehimalaya.co.in,sales12,30-07-2026,"PLOT NO.54C AND 54D, RAJ INDUSTRIES-01 PIPODARA, TDAKESHVAR,SURAT",Gujarat,Surat,394110,RCS,450x450,B125,1,Grey,5974,5974,18%,1075.32,0,7049.32
30-07-2026,SARANG ENTERPRISE,SARANG ENTERPRISE,SARANG ENTERPRISE,24AETFS8108L1ZD,TG,972252245,972252245,info@thehimalaya.co.in,sales12,30-07-2026,"PLOT NO.54C AND 54D, RAJ INDUSTRIES-01 PIPODARA, TDAKESHVAR,SURAT",Gujarat,Surat,394110,RCS,450x450,C250,1,Grey,7598,7598,18%,1367.64,0,8965.64
30-07-2026,SARANG ENTERPRISE,SARANG ENTERPRISE,SARANG ENTERPRISE,24AETFS8108L1ZD,TG,972252245,972252245,info@thehimalaya.co.in,sales12,30-07-2026,"PLOT NO.54C AND 54D, RAJ INDUSTRIES-01 PIPODARA, TDAKESHVAR,SURAT",Gujarat,Surat,395002,RCS,600x600,B125,1,Grey,7250,7250,18%,1305,0,8555
30-07-2026,SARANG ENTERPRISE,SARANG ENTERPRISE,SARANG ENTERPRISE,24AETFS8108L1ZD,TG,972252245,972252245,info@thehimalaya.co.in,sales12,30-07-2026,"PLOT NO.54C AND 54D, RAJ INDUSTRIES-01 PIPODARA, TDAKESHVAR,SURAT",Gujarat,Surat,395002,RCS,600x600,C250,1,Grey,9512,9512,18%,1712.16,0,11224.16
31-07-2026,GURUKRUPA WIRENETITNG INDUSTRIES,GURUKRUPA WIRENETITNG INDUSTRIES,GURUKRUPA WIRENETITNG INDUSTRIES,URD,TG,9879148505,9879148505,info@thehimalaya.co.in,sales12,31-07-2026,"NAINESH D SONI,OSHO SAI TEERTH ,39,SAI VATIKA,OP..SACHIDANAND TOWNSHIP,DANTALI,PETLAD-388450",Gujarat,Petlad,395002,MHC,28x28,LD,1,GREY,2485,2485,18%,447.3,0,2932.3
12-08-2026,GURUKRUPA WIRENETITNG INDUSTRIES,GURUKRUPA WIRENETITNG INDUSTRIES,GURUKRUPA WIRENETITNG INDUSTRIES,URD,TG,9879148505,9879148505,info@thehimalaya.co.in,sales12,31-07-2026,"NAINESH D SONI,OSHO SAI TEERTH ,39,SAI VATIKA,OP..SACHIDANAND TOWNSHIP,DANTALI,PETLAD-388450",Gujarat,Petlad,388450,MHC,28X28,LD,3,GREY,2485,7455,18%,1341.9,0,8796.9
11-08-2026,Sarang Enterprise(32mm),Sarang Enterprise(32mm),SARANG ENTERPRISE,24AETFS8108L1ZD,TG,972252245,972252245,info@thehimalaya.co.in,sales12,11-08-2026,"PLOT NO.54C AND 54D, RAJ INDUSTRIES-01 PIPODARA, TDAKESHVAR,SURAT",Gujarat,Surat,,RCS,600x600x32,C250,4,GREY,9184,36736,18%,6612.48,0,43348.48
18-08-2026,VISHAL AGARWAL,VISHAL AGARWAL,VISHAL AGARWAL,,TG,MO : 9928456549,MO : 9928456549,info@thehimalaya.co.in,sales12,18-08-2026,"JAIPUR,RAJASTHAN",Rajasthan,Jaipur,,MHC,21X21,LD,2,GREY,1237,2474,18%,445.32,0,2919.32
18-08-2026,VISHAL AGARWAL,VISHAL AGARWAL,VISHAL AGARWAL,,TG,MO : 9928456549,MO : 9928456549,info@thehimalaya.co.in,sales12,18-08-2026,"JAIPUR,RAJASTHAN",Rajasthan,Jaipur,,MHC,28X28,LD,10,GREY,1795,17950,18%,3231,0,21181
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
