Material Code / SKU,Material Name,Category,Unit of Measure,Current Stock Quantity,Minimum Stock Level,Reorder Level,Unit Rate (INR),Total Stock Value (INR),Stock Status,FSN Velocity,Storage Location
HM107,Sandpaper (Grit 400),Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM106,Sandpaper (Grit 320),Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM105,Sandpaper (Grit 220),Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM104,Sandpaper (Grit 180),Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM103,Sandpaper (Grit 120),Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM102,Sandpaper (Grit 80),Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM216,Hunndi,Raw Material,Pcs,100,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM215,iron hammer,Raw Material,Pcs,4,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM214,c clamp 12,Raw Material,Pcs,4,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM213,c clamp 4,Raw Material,Pcs,4,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM212,golden brown pigment,Raw Material,Kg,3,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM211,TERRA COATA Pigment,Raw Material,PCS,12,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM210,BROWAN Pigment,Raw Material,PCS,1,0,0,0,0,IN STOCK,Non-Moving,Raw Material Store
HM209,FAVDE HANDLE,Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM208,Thundor File,Raw Material,PCS,1,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM207,Flat File,Raw Material,PCS,1,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM206,Round File,Raw Material,PCS,1,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM205,Pliers (Pakkad),Raw Material,PCS,2,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM204,handle,Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM203,bear disc 36,Raw Material,PCS,50,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM202,sending machine pad,Raw Material,PCS,1,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM201,welcro paper 600,Raw Material,PCS,50,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM200,welcro paper 400,Raw Material,PCS,40,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM199,welcro paper 320,Raw Material,PCS,45,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM198,welcro paper 220,Raw Material,PCS,15,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM197,welcro paper 180,Raw Material,PCS,28,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM196,welcro paper 120,Raw Material,PCS,60,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM195,welcro paper 80,Raw Material,PCS,75,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM194,bear disc 120,Raw Material,PCS,30,0,0,0,0,IN STOCK,Non-Moving,Raw Material Store
HM193,bear disc 80,Raw Material,PCS,70,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM192,RED BRICK PIGMENT,Raw Material,PCS,20,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM191,c clamp big,Raw Material,PCS,4,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM190,buffing machine,Raw Material,PCS,2,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM189,WELDING ROD,Raw Material,PCS,180,0,0,0,0,IN STOCK,Non-Moving,Raw Material Store
HM188,welcro paper 600 grit,Raw Material,PCS,50,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM187,bear disc 120,Raw Material,PCS,30,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM186-B,bear disc 80,Raw Material,PCS,70,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM186,sand paper 180,Raw Material,PCS,28,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM185,MEASURING TAPE,Raw Material,NOS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM184,bucket 12no,Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM183,BALTI MID,Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM182,"steel putty blade 5/6""",Raw Material,PCS,30,0,0,0,0,IN STOCK,Non-Moving,Raw Material Store
HM181,"steel putty blade 8""",Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM180,steel putty blade 50*150mm,Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM179,p v,Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM178,sterar 10mm,Raw Material,PCS,22,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
HM177,sterar 8mm,Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM176,sand paper 600,Raw Material,PCS,0,0,0,0,0,OUT OF STOCK,Non-Moving,Raw Material Store
HM175,emery paper 80,Raw Material,PCS,1630,0,0,0,0,IN STOCK,Slow Moving,Raw Material Store
HM174,D A GREY,Raw Material,PCS,45,0,0,0,0,IN STOCK,Fast Moving,Raw Material Store
