ORDER DATE,project_name,group name,gst name,gst no,Site_incharge,site_incharge_mobile,office_contact,email,logged_in_sales_representive,login_date&time,address,state,city,pincode,PRODUCT,SIZE,CAPCITY,QTY,specification ,unit_pricew,sub_total,gst,gst_amount,discount,grand_total
06-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,06-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,450X450,B125,5,GREY,3870,19350,18%,3483,0,22833
04-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,04-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,450X450,LD,4,GREY,2250,9000,18%,1620,0,10620
10-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,10-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,RCS,600X600,LD,7,BLACK,5016,35112,18%,6320.16,0,41432.16
10-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,10-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,RCS,450X450,LD,8,BLACK,4296,34368,18%,6186.24,0,40554.24
11-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,11-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,600X600,C250,3,GREY,6000,18000,18%,3240,0,21240
12-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,12-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,WGC,600X600,C250,35,GREY,6408,224280,18%,40370.4,0,264650.4
13-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,13-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,300X300,LD,90,GREY,1056,95040,18%,17107.2,0,112147.2
14-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,14-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,600X600,LD,10,GREY,3336,33360,18%,6004.8,0,39364.8
15-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,15-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,900x900,LD,5,GREY,12240,61200,18%,11016,0,72216
16-04-2026,ARCHIT CORPORATION,ARCHIT CORPORATION,ARCHIT CORPORATION,24ACIPS4047H1ZI,RS,9825137600 / 9998521843,9825137600 / 9998521843,info@thehimalaya.co.in,sales2,16-04-2026,"OFFICE NO.310, 4TH FLOOR, KHATODARA MAIN ROAD,CANAL POINT,SURAT,GUJARAT",,,395002,MHC,900x900,B125,5,GREY,6648,33240,18%,5983.2,0,39223.2
