lead_date,project_name,group name,gst name,gst no,Site_incharge,site_incharge_mobile,office_contact,email,logged_in_sales_representive,login_date&time,ADDRESS,state,city,pincode,PRODUCT,SIZE,CAPCITY,QTY,specification ,unit_price,sub_total,gst,gst_amount,discount,grand_total
04-04-2026,PARTH CONSTRUCTION,PARTH CONSTRUCTION,PARTH CONSTRUCTION,24AAOFP6764G1ZU,RT,MO : 9426084123,MO : 9426084123,info@thehimalaya.co.in,sales7,04-04-2026,"B-1-12, SWI PARK, MADHUVRUND SOCIETY,
K.K NAGAR ROAD,GHATLODIA,AHMEDABAD.",,,380061,MHC,28X28,LD,9,GREY,1737,15633,18%,2813.94,0,18446.94
04-04-2026,PARTH CONSTRUCTION,PARTH CONSTRUCTION,PARTH CONSTRUCTION,24AAOFP6764G1ZU,RT,MO : 9426084123,MO : 9426084123,info@thehimalaya.co.in,sales7,04-04-2026,"B-1-12, SWI PARK, MADHUVRUND SOCIETY,
K.K NAGAR ROAD,GHATLODIA,AHMEDABAD.",,,380061,MHC,24X24,LD,1,GREY,1197,1197,18%,215.46,0,
01-05-2026,AZARO CONSTRUCTION,AZARO CONSTRUCTION,AZARO CONSTRUCTION,24BFTPR6375A1Z4,RT,MO:9825751718,MO:9825751718,info@thehimalaya.co.in,sales7,01-05-2026,"17,RIVERSIDE 19 BUNGLOW
NR PDPU GHANDHINAGAR",,,382426,MHC,28X28,ELD,15,GREY,1852,27780,18%,5000.4,0,
01-05-2026,AZARO CONSTRUCTION,AZARO CONSTRUCTION,AZARO CONSTRUCTION,24BFTPR6375A1Z4,RT,MO:9825751718,MO:9825751718,info@thehimalaya.co.in,sales7,01-05-2026,"17,RIVERSIDE 19 BUNGLOW
NR PDPU GHANDHINAGAR",,,382426,MHC,10X10,ELD,10,GREY,370,3700,18%,666,0,
07-02-2026,VISION CREATIVES INFRA LLP,VISION CREATIVES INFRA LLP,VISION CREATIVES INFRA LLP,24AAXFV1767A1ZY,RT,MO : 9099056806,MO : 9099056806,info@thehimalaya.co.in,sales7,07-02-2026,"SHOP B-166, PRAMUKH ARCADE,NEAR RAJDHANI
SOCIETY,SHANTIGRAM,TA-GANDHINAGAR,GUJARAT",,,382421,MHC,600X600,B125,2,GREY,5200,10400,18%,1872,0,
07-02-2026,TRIPUR BUILDERS,TRIPUR BUILDERS,TRIPUR BUILDERS,24AACFT6402F1ZL,RT,MO : 9537367186,MO : 9537367186,info@thehimalaya.co.in,sales7,07-02-2026,"T-08, RAJANISMURTI CO.OP.HSG.SOC.
NR. ATIRA POLYTECHNIC,AMBAWADI,AHMEDABAD,GUJARAT
",,,380015,MHC,36X36,LD,2,GREY,10140,20280,18%,3650.4,0,
14-07-2026,ROYAL BUILDCON,ROYAL BUILDCON,ROYAL BUILDCON,24ABFFR9006F1ZC,RT,MO : 8347567717,MO : 8347567717,info@thehimalaya.co.in,sales7,14-07-2026,"302, SWAPNIL ARCADE, OPP. 108 GVK CALL
CENTER,AHMEDABAD,GUJARAT",,,382330,MHC,28X28,LD,2,GREY,1881,3762,18%,677.16,0,
15-07-2026,SAHJANAND BUILDCON,SAHJANAND BUILDCON,SAHJANAND BUILDCON,24AEYFS4136F1ZP,RT,MO  : 9712363327,MO  : 9712363327,info@thehimalaya.co.in,sales7,15-07-2026,"B-304, PRIMATE HOUSE, JUDGES BUNGlOW
CROSS ROAD,OPP. MOTHER DAIRY PALACE,AHMEDABAD,GUJARAT",,,380054,MHC,28X28,LD,12,GREY,1737,20844,18%,3751.92,0,
27-07-2026,PARTH CONSTRUCTION,PARTH CONSTRUCTION,PARTH CONSTRUCTION,24AAOFP6764G1ZU,RT,MO : 9426084123,MO : 9426084123,info@thehimalaya.co.in,sales7,27-07-2026,"B-1-12, SWI PARK, MADHUVRUND SOCIETY,
K.K NAGAR ROAD,GHATLODIA,AHMEDABAD.",,,380061,MHC,28x28,LD,2,Grey,2308,4616,18%,830.88,0,
28-07-2026,PARAS HOSPITALITY,PARAS HOSPITALITY,PARAS HOSPITALITY,24ABGFP5420N1Z2,RT,MO : 9426084048,MO : 9426084048,info@thehimalaya.co.in,sales7,28-07-2026,"OPP. CENTERPOINT FLATS, S.NO.296/001,F.P. NO.129/2, TP. NO.06, BIKER STREET,
BESIDE SERIEN GARDEN RESTAURANT,GANDHINAGAR",,,382421,RCS,600x600,B125,1,Black,8033,8033,18%,1445.94,0,
