STORE INVENTORY — CURRENT STOCK | As of 23 Feb 2026 16:12,,,
SR NO,Item Code,Item Name,Unit
1,HM001,White Mold Release Wax Polish,KG
2,HM002,Benjo Mold Release Wax Polish,KG
3,HM003,Polyvinyl Alcohol (PVA) Release Agent,LTR
4,HM004,NC-50 Solvent-Based Mold Release Agent,PCS
5,HM005,White Pigment (TiO?),KG
6,HM006,LIGHT GREY PIGMENT,KG
7,HM007,Black Pigment,PCS
8,HM008,Phthalocyanine Blue Pigment,PCS
9,HM009,Polyethylene Terephthalate Resin (PET),BAREL
10,HM010,General Purpose Unsaturated Polyester Resin (Clear),BAREL
11,HM011,Isophthalic Polyester Resin,KGS
12,HM012,Vinyl Ester Resin,PCS
13,HM013,Isophthalic Gel Coat (Pre-accelerated),KG
14,HM014,Surface Tissue Mat (30 GSM),ROLL
15,HM015,Chopped Strand Mat – 225 GSM,KGS
16,HM016,Chopped Strand Mat – 450 GSM,ROLL
17,HM017,Woven Roving – 610 GSM,ROLL
18,HM018,Unidirectional Fiberglass Mat – 1230 GSM,ROLL
19,HM019,Methyl Ethyl Ketone Peroxide (Catalyst),KG
20,HM020,Cobalt Octoate Solution (Accelerator),KGS
21,HM021,Dimethylaniline (DMA) Promoter,PCS
22,HM022,Quartz Powder – small,KGS
23,HM023,Quartz Powder – medium,KGS
24,HM024,Quartz Powder – big,KGS
25,HM025,Quartz Powder – black and white,PCS
26,HM026,"General Mineral Filler (e.g., Dolomite Powder)",KG
27,HM027,Gel Coat Grade Filler Powder,KG
28,HM028,Acetone (Solvent),PCS
29,HM029,Thinner (General Purpose Paint/Resin Thinner),LTR
30,HM030,Paint Brush 50mm,PCS
31,HM031,Paint Brush 75mm,PCS
32,HM032,Brush 25mm,PCS
33,HM033,Paint Brush 100mm,PCS
34,HM034,thapi SMALL,PCS
35,HM035,thapi 6,PCS
36,HM036,thapi 8,PCS
37,HM037,thapi 10,PCS
38,HM038,thapi 12,PCS
39,HM039,bucket 8no,PCS
40,HM040,bucket 12no,PCS
41,HM041,bucket 10no,PCS
42,HM042,bucket 19no,PCS
43,HM043,bucket 14no,PCS
44,HM044,mugga small,PCS
45,HM045,mugga big,PCS
46,HM046,balti small 5 to 18,PCS
47,HM047,balti big 20,PCS
48,HM048,"Steel Putty blade (4"")",PCS
49,HM049,"Steel Putty blade (2"")",PCS
50,HM050,Hacksaw Blade,NOS
51,HM051,Steel Measuring Tape (5m,PCS
52,HM052,Steel Measuring Tape (3m,PCS
53,HM053,Steel Ruler / Engineer Scale Medium,NOS
54,HM054,Steel Ruler / Engineer Scale small 1.5 feet,PCS
55,HM055,Steel Ruler / Engineer Scale small 2 feet,PCS
56,HM056,Flat Chisel –40,PCS
57,HM057,Flat Chisel -25,PCS
58,HM058,Flat Chisel - 32,PCS
59,HM059,Flat Chisel –50,PCS
60,HM060,General Purpose Chisel,PCS
61,HM061,head screwdriver big,NOS
62,HM062,head screwdriver small,NOS
63,HM063,Electric Jigsaw Machine,PCS
64,HM064,jigsaw blade,PCS
65,HM065,Wood/Composite Router Machine,PCS
66,HM066,wood cutter blade,PCS
67,HM067,"Angle Grinder (4""/5"")",PCS
68,HM068,dimanod cutter,PCS
69,HM069,gc wheel,PCS
70,HM070,bear disc 60,PKT
71,HM071,grinder lock nut,PCS
72,HM072,Digital Vernier Caliper (0.01 mm accuracy),PCS
73,HM073,Air Spray Gun for Gel Coat/Primer Application,PCS
74,HM074,spary gun nozzel 4mm,PCS
75,HM075,Electric Polishing Machine (Rotary/Orbital),PCS
76,HM076,Cotton Wool Buffing Pad,PCS
77,HM077,Orbital/Eccentric Sanding Machine,PCS
78,HM078,buffing compond,PCS
79,HM079,Surface Primer for FRP Application,PCS
80,HM080,Plaster of Paris (CaSO?·½H?O),PCS
81,HM081,Electric Drill Machine (Variable Speed),PCS
82,HM082,Masonry Drill Bit,PCS
83,HM083,HSS Twist Drill Bit – 3mm,PCS
84,HM084,HSS Twist Drill Bit – 4mm,PCS
85,HM085,HSS Twist Drill Bit – 6mm,PCS
86,HM086,HSS Twist Drill Bit – 6mm *210mm,PCS
87,HM087,HSS Twist Drill Bit – 8mm,PCS
